density,block,fertilizer,yield
One,1,Nitrogen,177.2286923
Two,2,Nitrogen,177.5500413
One,3,Nitrogen,176.4084619
Two,4,Nitrogen,177.7036255
One,1,Nitrogen,177.1254863
Two,2,Nitrogen,176.7783425
One,3,Nitrogen,176.7463019
Two,4,Nitrogen,177.0611642
One,1,Nitrogen,176.2749493
Two,2,Nitrogen,177.9672029
One,3,Nitrogen,176.6012998
Two,4,Nitrogen,177.0305428
One,1,Nitrogen,177.4795072
Two,2,Nitrogen,176.8741298
One,3,Nitrogen,176.1143883
Two,4,Nitrogen,176.0083945
One,1,Nitrogen,176.1083126
Two,2,Nitrogen,178.3574409
One,3,Nitrogen,177.2624451
Two,4,Nitrogen,176.9188449
One,1,Nitrogen,176.2390158
Two,2,Nitrogen,176.5730698
One,3,Nitrogen,176.0392979
Two,4,Nitrogen,176.8179222
One,1,Nitrogen,176.1605865
Two,2,Nitrogen,177.2264241
One,3,Nitrogen,175.938533
Two,4,Nitrogen,177.1649367
One,1,Nitrogen,175.3608396
Two,2,Nitrogen,177.2769957
One,3,Nitrogen,175.9454438
Two,4,Nitrogen,175.8827796
One,1,Phosphorus,176.4793409
Two,2,Phosphorus,176.0443421
One,3,Phosphorus,177.4124617
Two,4,Phosphorus,177.3608182
One,1,Phosphorus,177.3854992
Two,2,Phosphorus,176.9758077
One,3,Phosphorus,177.3797787
Two,4,Phosphorus,177.9979951
One,1,Phosphorus,176.4348626
Two,2,Phosphorus,176.9332651
One,3,Phosphorus,175.9834802
Two,4,Phosphorus,177.0340927
One,1,Phosphorus,176.4367624
Two,2,Phosphorus,176.067745
One,3,Phosphorus,177.1210486
Two,4,Phosphorus,177.1977214
One,1,Phosphorus,176.6037241
Two,2,Phosphorus,177.2081714
One,3,Phosphorus,177.1488286
Two,4,Phosphorus,176.8190767
One,1,Phosphorus,176.9990669
Two,2,Phosphorus,178.1346046
One,3,Phosphorus,176.429156
Two,4,Phosphorus,176.6683229
One,1,Phosphorus,176.8958669
Two,2,Phosphorus,177.7794929
One,3,Phosphorus,176.414495
Two,4,Phosphorus,176.8788977
One,1,Phosphorus,177.5806831
Two,2,Phosphorus,176.9572689
One,3,Phosphorus,175.7475456
Two,4,Phosphorus,177.3525951
One,1,Potassium,177.1041864
Two,2,Potassium,178.0796352
One,3,Potassium,176.9034221
Two,4,Potassium,177.5402842
One,1,Potassium,177.0327097
Two,2,Potassium,178.2860419
One,3,Potassium,176.4054102
Two,4,Potassium,176.4308301
One,1,Potassium,177.3963306
Two,2,Potassium,176.9255758
One,3,Potassium,177.0550458
Two,4,Potassium,177.3441639
One,1,Potassium,177.1283675
Two,2,Potassium,177.1683022
One,3,Potassium,176.3539406
Two,4,Potassium,179.060899
One,1,Potassium,176.3005171
Two,2,Potassium,177.5933524
One,3,Potassium,177.1152452
Two,4,Potassium,177.7944574
One,1,Potassium,177.0040381
Two,2,Potassium,178.0368584
One,3,Potassium,177.7013663
Two,4,Potassium,177.6328083
One,1,Potassium,177.6522746
Two,2,Potassium,177.1004179
One,3,Potassium,177.187967
Two,4,Potassium,177.4052919
One,1,Potassium,178.1416444
Two,2,Potassium,177.7106125
One,3,Potassium,177.6872644
Two,4,Potassium,177.118176
