treatment,species,site,deformities
no_filter,cascade_frog,two,42
no_filter,cascade_frog,two,50.7
no_filter,cascade_frog,two,32.7
no_filter,cascade_frog,two,44
no_filter,cascade_frog,three,54
no_filter,cascade_frog,three,54.7
no_filter,cascade_frog,three,48
no_filter,cascade_frog,three,36.7
UV_blocking,cascade_frog,two,18.7
UV_blocking,cascade_frog,two,17.3
UV_blocking,cascade_frog,two,16
UV_blocking,cascade_frog,two,4.7
UV_blocking,cascade_frog,three,12.7
UV_blocking,cascade_frog,three,17.3
UV_blocking,cascade_frog,three,31.3
UV_blocking,cascade_frog,three,17.3
UV_transmitting,cascade_frog,two,47.3
UV_transmitting,cascade_frog,two,22
UV_transmitting,cascade_frog,two,37.3
UV_transmitting,cascade_frog,two,43.3
UV_transmitting,cascade_frog,three,46
UV_transmitting,cascade_frog,three,46.7
UV_transmitting,cascade_frog,three,36
UV_transmitting,cascade_frog,three,35.3
no_filter,toad,one,6
no_filter,toad,one,4.7
no_filter,toad,one,0.7
no_filter,toad,one,0.9
no_filter,toad,two,1.5
no_filter,toad,two,0.8
no_filter,toad,two,2.9
no_filter,toad,two,3.9
UV_blocking,toad,one,4.7
UV_blocking,toad,one,0.7
UV_blocking,toad,one,4.7
UV_blocking,toad,one,0.7
UV_blocking,toad,two,4.5
UV_blocking,toad,two,0
UV_blocking,toad,two,0
UV_blocking,toad,two,0
UV_transmitting,toad,one,0.9
UV_transmitting,toad,one,6.7
UV_transmitting,toad,one,2.7
UV_transmitting,toad,one,0.7
UV_transmitting,toad,two,0.7
UV_transmitting,toad,two,2.1
UV_transmitting,toad,two,0
UV_transmitting,toad,two,1.4
no_filter,tree_frog,three,36.7
no_filter,tree_frog,three,69.6
no_filter,tree_frog,three,39.3
no_filter,tree_frog,three,34
no_filter,tree_frog,one,38.7
no_filter,tree_frog,one,44
no_filter,tree_frog,one,30
no_filter,tree_frog,one,38.7
UV_blocking,tree_frog,three,24.7
UV_blocking,tree_frog,three,25.3
UV_blocking,tree_frog,three,39.3
UV_blocking,tree_frog,three,32.7
UV_blocking,tree_frog,one,25.3
UV_blocking,tree_frog,one,18.7
UV_blocking,tree_frog,one,21.3
UV_blocking,tree_frog,one,16.7
UV_transmitting,tree_frog,three,70
UV_transmitting,tree_frog,three,54
UV_transmitting,tree_frog,three,48.7
UV_transmitting,tree_frog,three,51.3
UV_transmitting,tree_frog,one,28.7
UV_transmitting,tree_frog,one,32.7
UV_transmitting,tree_frog,one,36
UV_transmitting,tree_frog,one,40.7
